ID: 1 | Title: 10+ WPM | Category: typing_speed | Req: {"min": 10, "type": "wpm"}
ID: 78 | Title: Triple Legend (50) | Category: competition | Req: {"type": "comp_rank_one", "min_count": 3, "min_participants": 50}
ID: 79 | Title: Persistence (3) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 3, "min_comp_count": 1}
ID: 80 | Title: Persistence (10) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 10, "min_comp_count": 1}
ID: 81 | Title: Persistence (15) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 15, "min_comp_count": 1}
ID: 82 | Title: Persistence (25) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 25, "min_comp_count": 1}
ID: 83 | Title: Persistence (50) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 50, "min_comp_count": 1}
ID: 84 | Title: Triple Persistence (3) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 3, "min_comp_count": 3}
ID: 85 | Title: Triple Persistence (10) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 10, "min_comp_count": 3}
ID: 86 | Title: Triple Persistence (15) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 15, "min_comp_count": 3}
ID: 87 | Title: Triple Persistence (25) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 25, "min_comp_count": 3}
ID: 88 | Title: Triple Persistence (50) | Category: competition | Req: {"type": "comp_repeat_count", "min_repeats": 50, "min_comp_count": 3}
ID: 89 | Title: Accuracy Apprentice | Category: accuracy | Req: {"min": 5, "type": "accuracy_count", "min_accuracy": 98}
ID: 90 | Title: Accuracy Practitioner | Category: accuracy | Req: {"min": 10, "type": "accuracy_count", "min_accuracy": 98}
ID: 91 | Title: Accuracy Master | Category: accuracy | Req: {"min": 15, "type": "accuracy_count", "min_accuracy": 98}
ID: 92 | Title: Accuracy Grandmaster | Category: accuracy | Req: {"min": 25, "type": "accuracy_count", "min_accuracy": 98}
ID: 93 | Title: Legendary Typist | Category: accuracy | Req: {"min": 50, "type": "accuracy_count", "min_accuracy": 98}
